iter	Logloss
120	0.5689989207
121	0.5688732056
122	0.5688059872
123	0.5686338046
124	0.5685346412
125	0.5682036431
126	0.5679794649
127	0.5679043783
128	0.5677919438
1129	0.5666359758130	0.567443457
131	0.567345686
132	0.5672716208
133	0.567045567
134	0.5669585487
135	0.5668918441
136	0.56672773
137	0.5666382706
138	0.5665490263
139	0139	0.565261140	0.566277141
141	0.141	0.56499142	0.142	0.56483143	0.143	0.5647144	0.5144	0.5645145	0.5145	0.5643146	0.5146	0.564147	0.56147	0.564148	0.56148	0.564149	0.56149	0.563150	0.5150	0.5638151	0.5151	0.5637152	0.5152	0.5634153	0.5153	0.563154	0.56154	0.563155	0.56155	0.562156	0.56156	0.562157	0.56157	0.562158	0.56158	0.562159	0.56159	0.562160	0.56160	0.562161	0.56161	0.562162	0.56162	0.562163	0.56163	0.562164	0.56164	0.561165	0.56165	0.561166	0.56166	0.561167	0.56167	0.561168	0.56168	0.561169	0.56169	0.561170	0.56170	0.561171	0.56171	0.561172	0.56172	0.561173	0.56173	0.561174	0.56174	0.560175	0.56175	0.560176	0.56176	0.560177	0.56177	0.560178	0.56178	0.560179	0.56179	0.560180	0.56180	0.560181	0.56181	0.5602682162
182	0.5602313929
183	0.5601695586
184	0.5601210396
185	0.5600595287
186	0.5599986264
187	0.5597818489
188	0.5596889642
189	0.5596391718
190	0.5595515163
191	0.5595431422
192	0.5593908986
193	0.5194	0.5616194	0.5591870177
195	0.5591328236
196	0.5590969848
197	0.5198	0.5614198	0.5199	0.5613199	0.5200	0.561200	0.55201	0.56201	0.558202	0.56202	0.558203	0.5203	0.558311269
204	0.5581607214
205	0.5581012
206	0.55785817207207	0.55780077208208	0.5577607094
209	0.5576491715
210	0.55764027211211	0.5575337504
212	0.5573783655
213	0.5573649684
214	0.5573537021215	0.55728669121216	0.55725847821217	0.55715933521218	0.55709905721219	0.5570467220220	0.5569164221221	0.55681724222222	0.5567565223	223	0.5567121224224	0.55664256225225	0.55660751226226	0.55647082227227	0.55629844228228	0.55621030229229	0.55611258230230	0.5560206231	231	0.5559508232	232	0.5558629233	233	0.555667234	0234	0.555616235	0235	0.55553236	0.236	0.55544237	0.237	0.55527238	0.5587225406
239	0.239	0.55514240	240	0.5550699241	241	0.5550095242	242	0.5549541243243	0.55486409244244	0.5547894424245	0.554750702246	0.5582288474
24247	0.55452924524248	0.55444581224249	0.55443418525250	0.55432824725251	0.55428358725252	0.5542258712253	0.55413006172254	0.554058628
255	0.5539878076256	0.5575779721
2257	0.55392104452258	0.55378656332259	0.55376864126260	0.55376826326261	0.553741530262	0.5572396371
263	0.5571558956
264	0.5570342479
265	0.5569200024
266	0.5568702716
2267	0.55329170082268	0.55318709012269	0.55310091227270	0.55308906327271	0.553055723272	0.5565523584
27273	0.55293714527274	0.55290433127275	0.55290135227276	0.55287319027277	0.552872289278	0.5561913995
279	0.5561215645
280	0.5560541551
281	0.5559619025
282	0.5559149967
283	0.5558729105
284	0.5557994865
285	0.5557190504
286	0.555706148
287	0.5556474335
288	0.5556446232
289	0.5556099774
290	0.5556098646
291	0.5556083293
292	0.5556079007
293	0.5555767442
294	0.5555521955
295	0.5555306914
296	0.5554900162
297	0.555460301
298	0.5554241015
299	0.5553573854
300	0.5553157542
301	0.5552549097
302	0.5552139588
303	0.5551723727
304	0.5551302515
305	0.5550810379
306	0.5549873479
307	0.5548432157
308	0.5547771596
309	0.5547408722
310	0.5546670368
311	0.5546320546
312	0.554579095
313	0.5545486558
314	0.5544872623
315	0.5543685475
316	0.5543151529
317	0.5542222775
318	0.5542222739
319	0.5541761957
320	0.5541519927
321	0.5540857258
322	0.5539599732
323	0.5539046096
324	0.5538876543
325	0.5538180234
326	0.5537116859
327	0.5535279969
328	0.5534698381
329	0.5534128342
330	0.5533382648
331	0.5532887112
332	0.5532600208
333	0.5531626157
334	0.553123488
335	0.5530702997
336	0.5530312367
337	0.5529641047
338	0.552952376
339	0.552908897
340	0.5528418383
341	0.5527396012
342	0.5527318118
343	0.552625765
344	0.5525812917
345	0.5524866087
346	0.5524246235
347	0.5523692307
348	0.5522970685
349	0.5522968573
350	0.5522767381
351	0.5522759987
352	0.5522430115
353	0.5522252006
354	0.5521582405
355	0.5520888122
356	0.5519895781
357	0.5519560787
358	0.5519457666
359	0.5518474342
360	0.551826783
361	0.5518080027
362	0.5517851323
363	0.5517812786
364	0.5517367704
365	0.5517023769
366	0.5516432985
367	0.5516092382
368	0.5514921319
369	0.5514918678
370	0.5514514378
371	0.5514291579
372	0.5513630676
373	0.551341464
374	0.5513022973
375	0.5512630009
376	0.5511392704
377	0.5510961641
378	0.5510673473
379	0.551020314
380	0.5509677567
381	0.5509270866
382	0.5508980444
383	0.5508768078
384	0.55081868
385	0.5507734791
386	0.5506579349
387	0.550650966
388	0.5505434146
389	0.5505030707
390	0.5503541942
391	0.5502692718
392	0.5502009492
393	0.5501150723
394	0.5500070844
395	0.5499892905
396	0.5499019295
397	0.5497814978
398	0.5497383562
399	0.5497069509
400	0.5496341689
401	0.5495497949
402	0.5495234995
403	0.5494538916
404	0.5493589785
405	0.5492704302
406	0.5491989029
407	0.5491696186
408	0.5490699601
409	0.5490223906
410	0.5489451138
411	0.5489099478
412	0.5488805461
413	0.548831587
414	0.5487563278
415	0.5487257051
416	0.5486258319
417	0.5485856662
418	0.5485636778
419	0.5485102639
420	0.5484789905
421	0.5483787933
422	0.5483741027
423	0.54833586
424	0.5482609772
425	0.5482582845
426	0.5482228659
427	0.5481538962
428	0.5481168671
429	0.5480843129
430	0.5479205344
431	0.5478481047
432	0.5477866715
433	0.5477596463
434	0.5476958598
435	0.5476348443
436	0.5474316437
437	0.5474201947
438	0.5474012881
439	0.5473010651
440	0.5472522847
441	0.5471983175
442	0.5471483358
443	0.5470832998
444	0.5470095763
445	0.5468874593
446	0.5468687519
447	0.5468028247
448	0.5467060786
449	0.5466585511
450	0.5465718301
451	0.5464685574
452	0.5464374409
453	0.5463665393
454	0.5462692736
455	0.5461375884
456	0.5460637251
457	0.5460139157
458	0.5460105421
459	0.5459334654
460	0.54588319
461	0.5458189565
462	0.545781296
463	0.5457352299
464	0.5456940633
465	0.545663564
466	0.5455723828
467	0.5454576676
468	0.5453434201
469	0.5452891394
470	0.5452501009
471	0.5451494296
472	0.5450481995
473	0.5448727532
474	0.544764362
475	0.5447119092
476	0.5445561053
477	0.5444463749
478	0.5443996434
479	0.5443483417
480	0.5442745159
481	0.544249489
482	0.5442353904
483	0.5442020748
484	0.544120624
485	0.5440842707
486	0.5439646915
487	0.543908907
488	0.543880914
489	0.543756911
490	0.5435839677
491	0.5435500817
492	0.5434806767
493	0.5434275682
494	0.5433754474
495	0.5433593979
496	0.5433417359
497	0.543325994
498	0.5432380021
499	0.5431479559
500	0.5430966999
501	0.5430157126
502	0.5429983872
503	0.5428966125
504	0.5428695738
505	0.542809626
506	0.5427589418
507	0.54269293
508	0.5426318911
509	0.5426085499
510	0.5425253828
511	0.5424568591
512	0.5424106118
513	0.5423232404
514	0.5422750893
515	0.542159427
516	0.5420765019
517	0.5420133685
518	0.5418774651
519	0.5417319694
520	0.5416231843
521	0.5415915065
522	0.5414779965
523	0.5414439267
524	0.5413480407
525	0.5412653118
526	0.5412212217
527	0.5411433185
528	0.5410404099
529	0.5409385243
530	0.5408815451
531	0.5407386926
532	0.5407139228
533	0.5406743172
534	0.5406629089
535	0.5405514319
536	0.5404902175
537	0.5404241077
538	0.5403302313
539	0.540323252
540	0.5402493712
541	0.5401927409
542	0.5401105468
543	0.5400094948
544	0.5399567412
545	0.5398224779
546	0.5397668547
547	0.5396846738
548	0.5396405761
549	0.5394649129
550	0.5394026607
551	0.5393468366
552	0.5392005875
553	0.5390598081
554	0.539012037
555	0.5389995253
556	0.5389481231
557	0.5388269423
558	0.5387554967
559	0.5386596636
560	0.5385518885
561	0.5384325207
562	0.5383269598
563	0.5382312658
564	0.53810942
565	0.5379571423
566	0.5379331144
567	0.537861701
568	0.5377446833
569	0.5376197999
570	0.5376122005
571	0.5375373848
572	0.5374918206
573	0.5374292998
574	0.5373423585
575	0.5372697342
576	0.5371619463
577	0.5370860029
578	0.5370419636
579	0.5369816918
580	0.5368778989
581	0.5367953727
582	0.5367632355
583	0.5367543155
584	0.5366800233
585	0.5366189574
586	0.5365851902
587	0.5365052222
588	0.5364695953
589	0.5364038787
590	0.5363427832
591	0.5362920697
592	0.5361721066
593	0.5361599622
594	0.5360424437
595	0.5359691849
596	0.5358961823
597	0.5358378476
598	0.5357537225
599	0.5357419514
600	0.5356804357
601	0.5356598433
602	0.5355546236
603	0.5355270904
604	0.5354526296
605	0.535419196
606	0.5353538962
607	0.5352326236
608	0.5350554984
609	0.5349308792
610	0.5348269055
611	0.5347585948
612	0.5346893746
613	0.5346703727
614	0.534637319
615	0.5345723533
616	0.5344962351
617	0.5344881075
618	0.5344755323
619	0.5343916343
620	0.5343405169
621	0.5342759646
622	0.5341866638
623	0.5340947013
624	0.5340074375
625	0.5339619356
626	0.5338960039
627	0.5338838091
628	0.5338110191
629	0.5338004594
630	0.5337788095
631	0.5337154293
632	0.5336335101
633	0.5336193608
634	0.5336075909
635	0.5335272712
636	0.5334106931
637	0.5333578445
638	0.5332852345
639	0.5332277763
640	0.533114959
641	0.5330633733
642	0.5329696205
643	0.5329279938
644	0.5328548901
645	0.5328497216
646	0.5327917339
647	0.5327846638
648	0.532716729
649	0.5326407684
650	0.5325485749
651	0.5325181061
652	0.5324608297
653	0.5323705435
654	0.5323295161
655	0.5322275178
656	0.5322199677
657	0.5321348676
658	0.5320844078
659	0.5319818223
660	0.531939108
661	0.531826293
662	0.5317109068
663	0.5316557108
664	0.5315752802
665	0.5314820239
666	0.5314378788
667	0.5313983854
668	0.531369524
669	0.5313000775
670	0.5312717135
671	0.531192207
672	0.5310964943
673	0.5310805201
674	0.531075084
675	0.5310063413
676	0.5309634226
677	0.5308584973
678	0.5307962952
679	0.5307434417
680	0.5306988202
681	0.5305888216
682	0.5304964145
683	0.5304211438
684	0.530384187
685	0.5303042785
686	0.5302476436
687	0.5301751031
688	0.5301500311
689	0.5301387881
690	0.5300851869
691	0.5300321991
692	0.5299816536
693	0.5299504489
694	0.529840941
695	0.5297984357
696	0.5296969186
697	0.5296602001
698	0.5295733872
699	0.5295369461
700	0.5294532733
701	0.5293566217
702	0.5292924785
703	0.5292244685
704	0.5291643014
705	0.5290417735
706	0.529013326
707	0.5290047229
708	0.5289569783
709	0.5288962828
710	0.5288733187
711	0.5287844074
712	0.5286949441
713	0.5286583962
714	0.5286104709
715	0.528509481
716	0.5283828715
717	0.5283125208
718	0.5283015954
719	0.5282164455
720	0.5281354111
721	0.5281017121
722	0.5280337068
723	0.5279917157
724	0.5279458309
725	0.5279149503
726	0.5278670459
727	0.5277595791
728	0.5276932298
729	0.5276520921
730	0.5276275035
731	0.5275634644
732	0.5275356491
733	0.5275036293
734	0.5274720395
735	0.52742065
736	0.5274173279
737	0.5273916772
738	0.5273717176
739	0.5273639585
740	0.5273368133
741	0.5272877393
742	0.5272649835
743	0.5272562185
744	0.5271627287
745	0.527090406
746	0.5270155682
747	0.5269869326
748	0.5269212295
749	0.5268278166
750	0.526750467
751	0.5266837076
752	0.5266341748
753	0.5265735927
754	0.5264979582
755	0.5264603112
756	0.5263821218
757	0.5263508421
758	0.5262984821
759	0.5262869705
760	0.5261967031
761	0.5261322643
762	0.5260970657
763	0.5260911564
764	0.526005688
765	0.5259991415
766	0.5259099948
767	0.5258338979
768	0.5257318168
769	0.5256644797
770	0.5256283315
771	0.5255296813
772	0.5254210915
773	0.525327972
774	0.5252741978
775	0.525255953
776	0.5251762618
777	0.52513035
778	0.5250970287
779	0.5250504874
780	0.5249858435
781	0.5249803018
782	0.5249250518
783	0.5248515308
784	0.5248001353
785	0.5247756284
786	0.5247639049
787	0.5246701846
788	0.5246630077
789	0.5245980608
790	0.5245928888
791	0.5245862424
792	0.5244899566
793	0.5243860463
794	0.5243441619
795	0.5242950987
796	0.5242061592
797	0.5241831268
798	0.5241552877
799	0.5240497682
800	0.5239724783
801	0.5239249459
802	0.5238112094
803	0.5237808529
804	0.5237367301
805	0.5236493397
806	0.5236190232
807	0.523543129
808	0.5235049062
809	0.5234695848
810	0.5234420716
811	0.5233582316
812	0.523257444
813	0.5232224215
814	0.5231427811
815	0.5231087102
816	0.5230773379
817	0.5229917407
818	0.5229084135
819	0.5228618801
820	0.5228209995
821	0.5227264481
822	0.5226889316
823	0.522651534
824	0.5225991438
825	0.5225113603
826	0.5224554108
827	0.5223930434
828	0.5223679216
829	0.522301435
830	0.5222193068
831	0.5221014949
832	0.5220568642
833	0.5219928356
834	0.5219634731
835	0.5219499519
836	0.5218919698
837	0.5218635014
838	0.5218595466
839	0.5218270274
840	0.5218201629
841	0.5217495792
842	0.5216805541
843	0.5216110272
844	0.5214998751
845	0.5213985404
846	0.5213845462
847	0.5213645471
848	0.5213106107
849	0.5212266341
850	0.5212092075
851	0.5211478459
852	0.5211437338
853	0.521123184
854	0.5210450027
855	0.5209690756
856	0.5208940628
857	0.5208028979
858	0.5207889429
859	0.5207582077
860	0.5206465585
861	0.5205812162
862	0.5205551183
863	0.5204894945
864	0.5204815241
865	0.5203583065
866	0.520276485
867	0.5202378675
868	0.5201751041
869	0.5200785964
870	0.5200326429
871	0.5200093026
872	0.5199670466
873	0.5199051964
874	0.5198908381
875	0.5198716179
876	0.5198665538
877	0.5198400735
878	0.5197715255
879	0.5197066382
880	0.5196867819
881	0.5196009694
882	0.5195629713
883	0.519461674
884	0.519447837
885	0.5192829757
886	0.5192625933
887	0.5192163218
888	0.5191527325
889	0.5191455004
890	0.5190943862
891	0.5190751907
892	0.5189566561
893	0.5189014103
894	0.5188861593
895	0.518880513
896	0.5187718604
897	0.5186936228
898	0.5186528444
899	0.5185840733
900	0.5185369315
901	0.518494663
902	0.518427382
903	0.5184202039
904	0.518381907
905	0.5183253494
906	0.518288531
907	0.5182707954
908	0.5182594927
909	0.5182221766
910	0.5181536792
911	0.5181246487
912	0.5180885246
913	0.5180542914
914	0.5180492262
915	0.5180040157
916	0.5179479966
917	0.5178961742
918	0.5178646173
919	0.5178320819
920	0.5177921635
921	0.5177416822
922	0.5176873345
923	0.5176191059
924	0.5175902572
925	0.5175603481
926	0.5175259727
927	0.5175028856
928	0.5174381266
929	0.517381176
930	0.517367511
931	0.5173638191
932	0.5173528905
933	0.5173332462
934	0.5173179366
935	0.5172616042
936	0.5172289144
937	0.5171471879
938	0.5171335105
939	0.5170859263
940	0.5170626983
941	0.5170009614
942	0.5169112326
943	0.516870786
944	0.516851943
945	0.5167603648
946	0.5167547174
947	0.5166944576
948	0.5166531085
949	0.5166487805
950	0.5166153923
951	0.5165764225
952	0.5165690319
953	0.5165303142
954	0.5164222359
955	0.5163720501
956	0.5163139711
957	0.5162550351
958	0.5162088274
959	0.516134775
960	0.5161161335
961	0.5160191583
962	0.5159147165
963	0.5159021439
964	0.5158637038
965	0.5158428241
966	0.5157505312
967	0.5156990031
968	0.5156702983
969	0.5155982567
970	0.5154572542
971	0.51540857
972	0.5153186297
973	0.5152855737
974	0.5152752959
975	0.5151702296
976	0.5151415037
977	0.5150834354
978	0.5150524809
979	0.5150418646
980	0.515016389
981	0.5150147583
982	0.5149871349
983	0.5148726957
984	0.5148588059
985	0.5148054734
986	0.5147947607
987	0.5147919645
988	0.51472626
989	0.5146913538
990	0.5146738201
991	0.5145745269
992	0.5145706776
993	0.5145156878
994	0.5144665867
995	0.5144028121
996	0.5143999643
997	0.5143963758
998	0.514370192
999	0.5143448366
